ticker,fecha,tipo_activo,es_etf,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,spy_ret,idio_ret,es_sistematico,dist_low_52w,drop_norm_atr,mag_ord,ret_10d,target
XLV,2020-02-27,ETF,1,-3.398,-3.366,2.162442881060198,21.91808889272312,3,1,-4.491206664766423,1.0933207272085692,1,11.47333204083739,-2.3772959287521274,2,-9.635,0
USO,2020-02-27,ETF,1,-4.024,-2.269,1.596962886882296,26.07896436417424,4,0,-4.491206664766423,0.46765549405394324,1,0.0,-1.6299116099458508,2,-33.129,0
DIA,2020-02-27,ETF,1,-4.538,-4.08,2.713697394206329,18.81643450294733,5,1,-4.491206664766423,-0.04649007287651408,1,5.5147899085101555,-1.0547741215895965,2,-17.627,0
TSLA,2020-02-27,ACCION,0,-12.815,-2.687,0.9846987024043737,44.57449359040437,3,3,-4.491206664766423,-8.323377293696264,1,279.39321595257394,-3.339326226217292,4,-17.445,0
SPY,2020-02-27,ETF,1,-4.491,-4.24,2.970406249110443,20.312466431728325,5,1,-4.491206664766423,0.0,1,10.450919387919095,-0.9123158270522509,2,-16.604,0
JNJ,2020-02-27,ACCION,0,-3.174,-4.015,1.7626304173565803,25.348154887067878,3,2,-4.491206664766423,1.3174714273355153,1,11.198235003111872,-1.7424132429525754,2,-9.855,0
XLK,2020-02-27,ETF,1,-5.394,-3.829,2.4797790253203202,27.048259514821353,0,2,-4.491206664766423,-0.9025389797361552,1,27.285798200161814,-4.773935536415787,3,-14.082,0
QQQ,2020-02-27,ETF,1,-5.007,-4.078,2.719853985672065,27.00801507874499,0,2,-4.491206664766423,-0.5161774962082912,1,21.65413208463342,-1.1155129204347647,3,-13.772,0
MSFT,2020-02-27,ACCION,0,-7.046,-4.255,2.121831396944241,32.3638227028984,0,2,-4.491206664766423,-2.5547040510008108,1,45.187784669146595,-1.2489961565819594,3,-12.088,0
SLV,2020-02-28,ETF,1,-5.707,-3.983,3.490729490236351,31.993702612403823,3,1,-0.4201333614517577,-5.287211019680749,0,15.378898134900703,-16.077025561936843,3,-11.848,0
GLD,2020-02-28,ETF,1,-3.649,-4.784,3.167982158232175,45.77652242637114,0,2,-0.4201333614517577,-3.229214117241419,0,23.711857480826662,-1.708152202672355,2,-3.437,0
JNJ,2020-02-28,ACCION,0,-3.335,-3.645,2.542041810952931,19.609730840231734,4,1,-0.4201333614517577,-2.915093254867096,0,7.489521872411296,-1.5148272357566495,2,-0.141,0
JPM,2020-02-28,ACCION,0,-4.334,-2.858,3.6237805222013892,18.418457146720755,1,1,-0.4201333614517577,-3.913728830439522,0,20.82595904582609,-1.5939173630515322,2,-10.507,0
BAC,2020-03-03,ACCION,0,-5.516,-2.983,2.1159493274236634,22.39081783223928,0,1,-2.8632361890125635,-2.652591584861086,1,6.992016902444472,-5.586439520494115,3,-20.287,0
META,2020-03-03,ACCION,0,-5.371,-2.792,1.576636520774974,31.340489994102413,0,1,-2.8632361890125635,-2.5073754100817363,1,15.840968255866922,-0.8008533229750116,3,-19.619,0
XOM,2020-03-03,ACCION,0,-4.788,-2.293,1.8692265378453083,29.461176586678704,0,0,-2.8632361890125635,-1.9251733184931892,1,2.9706645248239503,-3.323242058246452,2,-28.246,0
XLC,2020-03-03,ETF,1,-3.294,-2.663,1.7270393866180633,32.447580620666,0,1,-2.8632361890125635,-0.43073687225728685,1,12.128128387603176,-2.536131482548353,2,-15.81,0
JNJ,2020-03-03,ACCION,0,-3.164,-2.816,1.6392331328459726,31.59930970159226,0,2,-2.8632361890125635,-0.30060552369030047,1,8.3767207849202,-1.0790651866970808,2,0.738,0
JPM,2020-03-03,ACCION,0,-3.752,-2.205,2.2400598492687633,28.070322962023482,0,1,-2.8632361890125635,-0.8892415868098191,1,21.710488229208643,-1.0965801129686175,2,-19.836,0
MSFT,2020-03-03,ACCION,0,-4.792,-2.486,1.4333635529466322,43.061803575787245,0,2,-2.8632361890125635,-1.928739188929229,1,50.99786117195958,-0.6886000103081321,2,-10.905,0
QQQ,2020-03-03,ETF,1,-3.207,-2.259,2.2520138947022414,37.60894669916153,0,2,-2.8632361890125635,-0.34348713304859224,1,23.925830718137302,-0.5243023188188283,2,-13.051,0
GOOGL,2020-03-03,ACCION,0,-3.506,-2.206,1.299623903050564,36.020932370428845,0,2,-2.8632361890125635,-0.6424637506023401,1,28.7829465457881,-1.6446070202273593,2,-16.42,0
XLF,2020-03-03,ETF,1,-3.757,-2.526,3.4798758653228012,29.19062303629518,0,1,-2.8632361890125635,-0.8934768855765607,1,8.257033547165479,-5.284476863365981,2,-22.045,0
XLK,2020-03-03,ETF,1,-3.798,-2.34,2.5266129137366815,38.24289788043533,0,2,-2.8632361890125635,-0.9343847483902379,1,30.522364434308898,-2.5066375452417713,2,-13.822,0
DIA,2020-03-05,ETF,1,-3.481,-2.267,1.0346388832122446,37.67225430839041,0,1,-3.324169503387475,-0.15692689508315372,1,7.137461004905952,-0.47360110430900254,2,-23.005,0
SPY,2020-03-05,ETF,1,-3.324,-2.32,1.3243659774153242,38.161296001550966,0,1,-3.324169503387475,0.0,1,12.288613863785883,-0.38855249364833133,2,-20.482,0
GS,2020-03-05,ACCION,0,-4.767,-2.745,1.1623349170840696,30.158821888870165,0,1,-3.324169503387475,-1.4425382205066057,1,10.90766747300577,-0.7264939024736078,2,-24.8,0
XLF,2020-03-05,ETF,1,-4.822,-2.883,1.6296986509285316,31.554790516766246,0,1,-3.324169503387475,-1.4977249979538643,1,6.446016516828817,-5.706764262477675,2,-25.86,0
BAC,2020-03-05,ACCION,0,-5.069,-2.517,1.5470366464183127,23.784244306907297,0,1,-3.324169503387475,-1.7449551018842824,1,3.9109383121930756,-4.650954423262171,3,-20.836,0
IWM,2020-03-05,ETF,1,-3.181,-2.391,1.2024560974238752,32.515380513140585,0,1,-3.324169503387475,0.1433483982098971,1,2.437164238086259,-0.7609568974969628,2,-29.494,0
XLC,2020-03-05,ETF,1,-3.649,-2.587,0.7543204417810474,36.52625861473003,0,1,-3.324169503387475,-0.32463316292907773,1,11.929420330107789,-2.4677553436989084,2,-17.002,0
JPM,2020-03-05,ACCION,0,-4.906,-2.659,1.5538523437926872,28.812957527450223,0,1,-3.324169503387475,-1.581975641587519,1,18.59906832111343,-1.231161561410187,2,-25.156,0
GOOGL,2020-03-05,ACCION,0,-4.838,-2.722,1.2935699724301655,36.505578952868966,0,2,-3.324169503387475,-1.5136939043428388,1,26.572578156243498,-1.9683047297817966,2,-15.447,0
XOM,2020-03-06,ACCION,0,-4.829,-2.071,1.913275810637601,26.245464645729825,1,0,-1.6531187030084715,-3.1762376930037584,1,0.0,-2.8298903952915335,2,-31.348,0
JPM,2020-03-06,ACCION,0,-5.168,-2.599,2.1726071268441616,24.660743750375758,1,1,-1.6531187030084715,-3.514911659861275,1,12.469832460197644,-1.1614583114574468,3,-22.742,0
XLE,2020-03-06,ETF,1,-5.618,-2.752,2.068273737108675,23.012346967807858,1,0,-1.6531187030084715,-3.965361732819517,1,0.0,-7.338906609174778,3,-39.153,0
USO,2020-03-06,ETF,1,-9.157,-4.109,2.2128561261778503,23.084953813678396,3,0,-1.6531187030084715,-7.504010806662986,1,0.0,-2.55581862587239,3,-43.414,0
DIA,2020-03-09,ETF,1,-7.777,-4.202,1.6703368312248612,27.538431443780652,2,1,-7.80943083032779,0.032752348487408156,1,0.0,-0.8621026755907794,3,-21.796,0
GS,2020-03-09,ACCION,0,-10.391,-4.651,1.6580756234832712,20.57803513258979,2,1,-7.80943083032779,-2.5820583427738297,1,0.0,-1.2961304859960954,4,-21.897,0
SPY,2020-03-09,ETF,1,-7.809,-4.37,1.9111536790168324,26.836507858844953,2,1,-7.80943083032779,0.0,1,1.3211267968022218,-0.7329351742785077,3,-18.222,0
MSFT,2020-03-09,ACCION,0,-6.777,-2.967,1.2756020744952132,35.05162673713954,2,2,-7.80943083032779,1.032182365425915,1,35.2590615374696,-0.8101431950837719,3,-9.72,0
GOOGL,2020-03-09,ACCION,0,-6.17,-3.092,1.5245617974559815,28.62326580978737,2,1,-7.80943083032779,1.6392064366066554,1,17.044680791626305,-2.1372917403604688,3,-13.297,0
XLK,2020-03-09,ETF,1,-7.592,-3.642,1.3428547935671769,31.30372738942644,2,1,-7.80943083032779,0.21747888847056807,1,17.481216302424347,-3.740553466312115,3,-13.866,0
TSLA,2020-03-09,ACCION,0,-13.573,-2.522,0.946351240271794,38.077944694233906,2,2,-7.80943083032779,-5.763094889922171,1,239.7217580273344,-3.066709230847445,4,-28.571,0
IWM,2020-03-09,ETF,1,-9.723,-5.263,1.8538951548555462,21.105113498442293,2,1,-7.80943083032779,-1.9135316299239706,1,0.0,-1.8250204742585856,3,-23.366,0
USO,2020-03-09,ETF,1,-25.315,-6.374,3.667803383463083,13.707285611326697,4,0,-7.80943083032779,-17.505571199370916,1,0.0,-5.3375021451374876,4,-25.153,0
XLV,2020-03-09,ETF,1,-5.198,-3.185,1.4726984164226806,35.46122261133736,2,1,-7.80943083032779,2.6112918770823113,1,9.429697364381454,-1.6168516362951548,3,-18.586,0
AMZN,2020-03-09,ACCION,0,-5.285,-2.659,1.4800712643743483,34.23730341661751,2,1,-7.80943083032779,2.524047585162436,1,7.780948662268834,-1.3707290029181138,3,5.677,1
XLC,2020-03-09,ETF,1,-6.664,-3.945,1.0627819190730023,26.606676739301406,2,1,-7.80943083032779,1.1454665519842866,1,2.657192171009944,-3.5475589183551457,3,-13.046,0
QQQ,2020-03-09,ETF,1,-6.946,-3.731,1.6486714362547414,31.092412598805154,2,1,-7.80943083032779,0.8629661944729694,1,14.513682195985336,-0.8255214014702688,3,-11.751,0
XLF,2020-03-09,ETF,1,-10.724,-4.82,1.4675804672419732,20.96264980393748,2,1,-7.80943083032779,-2.9146703088849923,1,0.0,-9.854341727213358,4,-21.921,0
JPM,2020-03-09,ACCION,0,-13.546,-5.148,2.094849132913017,17.795998966766106,2,1,-7.80943083032779,-5.736091611484739,1,0.0,-2.60538455530411,4,-15.422,0
AAPL,2020-03-09,ACCION,0,-7.909,-3.109,1.4527979292934872,35.330968898924496,2,2,-7.80943083032779,-0.09977423616124259,1,55.00257112179314,-2.0413343260128753,3,-15.704,0
NVDA,2020-03-09,ACCION,0,-7.743,-2.602,0.8461758270040531,42.320728329851484,2,2,-7.80943083032779,0.06624058942722488,1,83.89243390804678,-15.74744516931938,3,-13.343,0
BAC,2020-03-09,ACCION,0,-14.702,-5.26,1.7848571961198447,15.260270809763327,2,1,-7.80943083032779,-6.892995912801102,1,0.0,-10.625366735486812,4,-17.556,0
XOM,2020-03-09,ACCION,0,-12.225,-4.506,2.280113848828911,20.123781904197415,2,0,-7.80943083032779,-4.415345520345826,1,0.0,-6.0686209691281805,4,-24.869,0
META,2020-03-09,ACCION,0,-6.4,-2.85,1.509099493540385,26.28950585701348,2,1,-7.80943083032779,1.4093078172415892,1,5.6272351890592365,-0.7706417117403388,3,-12.625,0
JNJ,2020-03-09,ACCION,0,-3.936,-2.71,1.4557675245876134,38.07691240430857,0,2,-7.80943083032779,3.873637695772869,1,9.05613432894283,-0.9685312803152758,2,-18.543,0
XLE,2020-03-09,ETF,1,-20.141,-6.137,2.055079371720377,14.678331604782485,2,0,-7.80943083032779,-12.331763355678927,1,0.0,-20.53281882564018,4,-29.0,0
XLK,2020-03-11,ETF,1,-4.724,-2.008,1.2872926615155331,37.0637780610016,0,1,-4.874864780879163,0.15097077415776639,1,19.397267886446883,-2.084900714715564,2,-6.689,0
DIA,2020-03-11,ETF,1,-5.841,-2.726,1.1236091368517984,31.50142834885618,0,1,-4.874864780879163,-0.966136493432967,1,0.0,-0.5521647577656842,3,-9.813,0
SPY,2020-03-11,ETF,1,-4.875,-2.37,1.3902929333901612,32.257882432265404,0,1,-4.874864780879163,0.0,1,1.3691223396491066,-0.39636273507885816,2,-9.52,0
IWM,2020-03-11,ETF,1,-6.36,-2.988,1.4951785363089893,23.305831936579736,0,1,-4.874864780879163,-1.485285927673174,1,0.0,-1.029312847649908,3,-12.301,0
XLV,2020-03-11,ETF,1,-3.821,-2.138,1.391345670408219,37.53570111624407,0,1,-4.874864780879163,1.0537658694581902,1,8.859397737677417,-1.041140096997587,2,-10.68,0
GS,2020-03-11,ACCION,0,-6.759,-2.579,1.2502882203744747,27.00407810101828,0,1,-4.874864780879163,-1.8839935062603281,1,0.0,-0.7538668293075751,3,-9.75,0
XLC,2020-03-11,ETF,1,-4.297,-2.217,0.9818574557505056,32.665547938836085,0,1,-4.874864780879163,0.5777683412401924,1,3.2532447369888513,-2.0175938335544235,2,-9.646,0
GOOGL,2020-03-11,ACCION,0,-5.04,-2.271,1.1584301125792913,32.739488086063574,0,1,-4.874864780879163,-0.1652613589918417,1,16.573917140232542,-1.5362481290819772,3,-9.025,0
JNJ,2020-03-11,ACCION,0,-6.947,-3.874,1.6744576257605965,36.33764199093191,0,1,-4.874864780879163,-2.0723455496613585,1,5.347377675386229,-1.4041595965696678,3,-9.408,0
