ticker,fecha,tipo_activo,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,magnitud,dias_rec,recup_5d,ret_5d,recup_10d,ret_10d,recup_20d,ret_20d,recup_60d,ret_60d,bucket_vol,bucket_rsi,bucket_streak,tipo_x_mag
NVDA,2021-12-13,ACCION,-6.745,-2.086,1.164,43.2,3,2,Fuerte (-5% a -10%),2.0,0.0,-1.57,1.0,7.67,0.0,-1.22,0.0,-19.53,Normal (0.8-1.5x),Neutral (30-70),3-4 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2021-12-16,ACCION,-6.803,-2.0,1.255,45.2,0,2,Fuerte (-5% a -10%),11.0,0.0,4.41,0.0,3.61,0.0,-5.09,0.0,-19.06,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2022-08-26,ACCION,-9.228,-2.414,1.469,40.7,0,0,Fuerte (-5% a -10%),109.0,0.0,-16.07,0.0,-10.77,0.0,-24.77,0.0,-5.77,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2022-09-13,ACCION,-9.473,-2.519,1.246,31.2,0,0,Fuerte (-5% a -10%),56.0,0.0,0.34,0.0,-5.47,0.0,-11.77,1.0,22.79,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2022-10-07,ACCION,-8.027,-2.097,1.12,35.7,1,0,Fuerte (-5% a -10%),18.0,0.0,-7.03,0.0,3.23,1.0,17.22,1.0,22.17,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2024-02-20,ACCION,-4.353,-2.276,1.433,63.3,2,3,Moderada (-3% a -5%),2.0,1.0,13.32,1.0,23.78,1.0,28.73,1.0,36.26,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2024-03-08,ACCION,-5.548,-2.184,1.921,69.8,0,3,Fuerte (-5% a -10%),14.0,0.0,0.35,1.0,7.72,0.0,-0.45,1.0,33.03,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2024-04-19,ACCION,-10.005,-2.926,1.848,34.0,0,2,Extrema (>-10%),7.0,1.0,15.14,1.0,16.52,1.0,21.36,1.0,54.86,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Extrema (>-10%)
NVDA,2024-06-24,ACCION,-6.684,-2.141,1.08,52.3,2,3,Fuerte (-5% a -10%),9.0,0.0,5.24,1.0,11.24,0.0,3.79,0.0,-4.0,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2024-07-17,ACCION,-6.624,-2.249,1.214,43.8,2,2,Fuerte (-5% a -10%),33.0,0.0,-3.17,0.0,-0.82,0.0,0.08,1.0,14.27,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2024-07-24,ACCION,-6.803,-2.198,1.22,41.6,1,2,Fuerte (-5% a -10%),22.0,0.0,2.42,0.0,-13.43,1.0,12.47,1.0,19.86,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2024-07-30,ACCION,-7.044,-2.18,1.724,33.4,1,2,Fuerte (-5% a -10%),1.0,0.0,0.5,1.0,11.96,1.0,23.69,1.0,34.55,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2024-09-03,ACCION,-9.525,-2.25,1.359,40.3,0,3,Fuerte (-5% a -10%),21.0,0.0,0.09,0.0,7.04,0.0,8.34,1.0,26.79,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2025-01-07,ACCION,-6.217,-2.515,1.674,51.5,0,2,Fuerte (-5% a -10%),169.0,0.0,-2.78,0.0,5.05,0.0,-8.18,0.0,-32.7,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2025-01-27,ACCION,-16.968,-4.987,3.462,34.4,1,1,Extrema (>-10%),133.0,0.0,-1.49,0.0,12.79,0.0,6.93,0.0,-13.26,Muy alto (>2.5x),Neutral (30-70),1-2 días bajando,ACCION | Extrema (>-10%)
NVDA,2025-02-27,ACCION,-8.478,-2.216,1.722,38.9,0,1,Fuerte (-5% a -10%),76.0,0.0,-7.97,0.0,-3.79,0.0,-7.25,1.0,9.28,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2025-03-03,ACCION,-8.694,-2.137,1.592,36.6,0,1,Fuerte (-5% a -10%),71.0,0.0,-6.21,0.0,4.81,0.0,-4.97,1.0,18.2,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2025-08-19,ACCION,-3.5,-2.305,1.201,51.7,0,3,Moderada (-3% a -5%),34.0,0.0,3.49,0.0,-2.86,0.0,-3.04,1.0,10.35,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
NVDA,2025-08-29,ACCION,-3.325,-2.252,1.429,46.2,2,3,Moderada (-3% a -5%),24.0,0.0,-3.37,0.0,2.06,1.0,4.41,1.0,4.81,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2025-10-10,ACCION,-4.887,-2.729,1.48,51.8,0,3,Moderada (-3% a -5%),18.0,0.0,0.03,0.0,1.69,0.0,2.72,0.0,3.25,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
NVDA,2025-10-14,ACCION,-4.402,-2.307,1.11,47.8,0,3,Moderada (-3% a -5%),13.0,0.0,0.63,1.0,11.66,1.0,7.29,0.0,2.69,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
NVDA,2026-02-26,ACCION,-5.456,-2.596,1.906,47.4,0,2,Fuerte (-5% a -10%),47.0,0.0,-0.84,0.0,-0.94,0.0,-7.38,1.0,16.47,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2026-06-05,ACCION,-6.201,-2.524,1.235,44.0,0,2,Fuerte (-5% a -10%),inf,0.0,0.04,0.0,1.73,,,,,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
GOOGL,2016-01-13,ACCION,-3.457,-2.293,1.188,35.8,0,2,Moderada (-3% a -5%),9.0,0.0,0.99,1.0,3.99,0.0,-1.84,1.0,5.28,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
GOOGL,2016-02-03,ACCION,-4.038,-2.472,2.008,50.4,0,2,Moderada (-3% a -5%),75.0,0.0,-5.68,0.0,-4.25,0.0,-2.37,0.0,-5.54,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
GOOGL,2016-02-05,ACCION,-3.598,-2.032,1.555,39.2,2,2,Moderada (-3% a -5%),12.0,0.0,0.44,0.0,3.59,0.0,1.28,0.0,0.66,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
GOOGL,2016-04-22,ACCION,-5.414,-3.432,3.631,38.9,0,2,Fuerte (-5% a -10%),98.0,0.0,-4.05,0.0,-1.71,0.0,-2.18,0.0,2.12,Muy alto (>2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
GOOGL,2016-06-24,ACCION,-4.15,-3.02,2.597,29.3,0,0,Moderada (-3% a -5%),14.0,0.0,3.66,1.0,6.13,1.0,10.55,1.0,16.72,Muy alto (>2.5x),Sobrevendido (<30),0 — caída aislada,ACCION | Moderada (-3% a -5%)
GOOGL,2016-11-10,ACCION,-3.141,-3.121,2.609,38.9,1,2,Moderada (-3% a -5%),29.0,0.0,0.75,0.0,-0.01,1.0,3.74,1.0,6.36,Muy alto (>2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
GOOGL,2017-06-09,ACCION,-3.401,-3.529,2.221,51.6,0,3,Moderada (-3% a -5%),124.0,0.0,-1.19,0.0,1.65,0.0,-1.97,0.0,-2.95,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
GOOGL,2018-02-02,ACCION,-5.28,-4.82,3.101,44.5,1,3,Fuerte (-5% a -10%),136.0,0.0,-6.52,0.0,-2.12,0.0,-2.18,0.0,-7.01,Muy alto (>2.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
GOOGL,2018-02-05,ACCION,-5.076,-3.918,2.055,31.7,2,2,Fuerte (-5% a -10%),18.0,0.0,-0.74,0.0,3.88,0.0,3.62,0.0,-3.42,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
GOOGL,2018-02-08,ACCION,-4.52,-3.008,1.426,27.5,1,2,Moderada (-3% a -5%),6.0,1.0,8.3,1.0,11.95,1.0,15.2,1.0,5.14,Normal (0.8-1.5x),Sobrevendido (<30),1-2 días bajando,ACCION | Moderada (-3% a -5%)
GOOGL,2018-03-22,ACCION,-3.734,-2.061,1.599,36.3,4,2,Moderada (-3% a -5%),49.0,0.0,-1.52,0.0,-4.1,0.0,2.3,1.0,12.38,Alto (1.5-2.5x),Neutral (30-70),3-4 días bajando,ACCION | Moderada (-3% a -5%)
GOOGL,2018-03-27,ACCION,-4.473,-2.257,1.288,33.0,0,1,Moderada (-3% a -5%),21.0,0.0,2.26,0.0,1.8,0.0,1.59,1.0,16.14,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
GOOGL,2018-04-24,ACCION,-4.765,-2.122,2.542,41.7,2,1,Moderada (-3% a -5%),15.0,0.0,1.77,0.0,3.52,1.0,5.15,1.0,17.26,Muy alto (>2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
