ticker,ret,dias,bucket,recuperado
QQQ,-2.1335775264974544,74.0,Leve (-1% a -3%),True
QQQ,-2.4682085772688933,48.0,Leve (-1% a -3%),True
QQQ,-2.6351619044271746,3.0,Leve (-1% a -3%),True
QQQ,-1.1503853443851297,1.0,Leve (-1% a -3%),True
QQQ,-2.885154013828606,3.0,Leve (-1% a -3%),True
QQQ,-2.502350349258353,4.0,Leve (-1% a -3%),True
QQQ,-1.5826911538879829,17.0,Leve (-1% a -3%),True
QQQ,-2.1187051084674002,2.0,Leve (-1% a -3%),True
QQQ,-1.1075032495371895,15.0,Leve (-1% a -3%),True
QQQ,-2.253039635326093,11.0,Leve (-1% a -3%),True
QQQ,-1.3599419206326346,5.0,Leve (-1% a -3%),True
QQQ,-1.1573953115563418,2.0,Leve (-1% a -3%),True
QQQ,-1.5151537747780663,32.0,Leve (-1% a -3%),True
QQQ,-1.3496398822482325,7.0,Leve (-1% a -3%),True
QQQ,-1.4131164110852246,3.0,Leve (-1% a -3%),True
QQQ,-1.2234901337485504,9.0,Leve (-1% a -3%),True
QQQ,-1.291356912852526,22.0,Leve (-1% a -3%),True
QQQ,-1.4402991215475058,3.0,Leve (-1% a -3%),True
QQQ,-1.919886106525115,186.0,Leve (-1% a -3%),True
QQQ,-1.2227279542221803,167.0,Leve (-1% a -3%),True
QQQ,-1.2402914037823232,1.0,Leve (-1% a -3%),True
QQQ,-1.2104382760052768,1.0,Leve (-1% a -3%),True
QQQ,-2.3182403821807473,146.0,Leve (-1% a -3%),True
QQQ,-2.5722076352938217,6.0,Leve (-1% a -3%),True
QQQ,-2.0580789220515205,2.0,Leve (-1% a -3%),True
QQQ,-1.5575978183470007,5.0,Leve (-1% a -3%),True
QQQ,-1.6852243689803093,112.0,Leve (-1% a -3%),True
QQQ,-1.7894921729289526,6.0,Leve (-1% a -3%),True
QQQ,-2.434880554593688,35.0,Leve (-1% a -3%),True
QQQ,-2.265981328418809,23.0,Leve (-1% a -3%),True
QQQ,-2.455532841410224,19.0,Leve (-1% a -3%),True
QQQ,-1.4495574860012406,11.0,Leve (-1% a -3%),True
QQQ,-2.479788390233506,2.0,Leve (-1% a -3%),True
QQQ,-2.0030321865032397,8.0,Leve (-1% a -3%),True
QQQ,-1.2352613606453344,2.0,Leve (-1% a -3%),True
QQQ,-1.342956869899703,5.0,Leve (-1% a -3%),True
QQQ,-1.2272721126922237,4.0,Leve (-1% a -3%),True
QQQ,-2.1964271063716123,11.0,Leve (-1% a -3%),True
QQQ,-1.9479711597985672,56.0,Leve (-1% a -3%),True
QQQ,-1.0220254493479075,32.0,Leve (-1% a -3%),True
QQQ,-1.688153076994936,21.0,Leve (-1% a -3%),True
QQQ,-1.5302231281604017,15.0,Leve (-1% a -3%),True
QQQ,-1.5952831735580264,6.0,Leve (-1% a -3%),True
QQQ,-2.201784101381221,1.0,Leve (-1% a -3%),True
QQQ,-1.7166382478446374,6.0,Leve (-1% a -3%),True
QQQ,-1.3830106092514893,76.0,Leve (-1% a -3%),True
QQQ,-1.472517302632248,34.0,Leve (-1% a -3%),True
QQQ,-1.1474897595797895,1.0,Leve (-1% a -3%),True
QQQ,-2.9884825039860674,5.0,Leve (-1% a -3%),True
QQQ,-1.0578598307691145,25.0,Leve (-1% a -3%),True
QQQ,-1.32805236478295,17.0,Leve (-1% a -3%),True
QQQ,-1.2408670199903438,14.0,Leve (-1% a -3%),True
QQQ,-1.7194780237704044,2.0,Leve (-1% a -3%),True
QQQ,-1.498078342787501,2.0,Leve (-1% a -3%),True
QQQ,-1.0239098753828335,10.0,Leve (-1% a -3%),True
QQQ,-2.065550571994146,8.0,Leve (-1% a -3%),True
QQQ,-1.5857982896270384,4.0,Leve (-1% a -3%),True
QQQ,-1.9209275773596657,102.0,Leve (-1% a -3%),True
QQQ,-2.719176634699594,72.0,Leve (-1% a -3%),True
